tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,distance,minutes,age,season,dayofweek,hour,over30min
2188,2016-09-23 19:09:47 UTC,2016-09-23 19:46:16 UTC,2008,Little West St & 1 Pl,40.70569254,-74.01677685,347,Greenwich St & W Houston St,40.728846,-74.008591,22233,Customer,1956,male,2665.38357167388,36.466666666666669,64,3,6,19,yes
1526,2016-09-05 22:26:35 UTC,2016-09-05 22:52:01 UTC,296,Division St & Bowery,40.71413089,-73.9970468,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,16939,Customer,1956,male,1794.7523894456519,25.433333333333334,64,3,2,22,no
1382,2016-09-17 17:52:26 UTC,2016-09-17 18:15:28 UTC,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,484,W 44 St & 5 Ave,40.75500254,-73.98014437,23844,Customer,1955,female,2964.7818904510787,23.033333333333335,65,3,7,17,no
1551,2016-09-04 09:52:06 UTC,2016-09-04 10:17:57 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,3231,E 67 St & Park Ave,40.767800801481322,-73.965920805931091,25714,Customer,1953,male,2544.3981507944118,25.85,67,3,1,9,no
3073,2016-09-10 10:38:18 UTC,2016-09-10 11:29:32 UTC,525,W 34 St & 11 Ave,40.75594159,-74.0021163,410,Suffolk St & Stanton St,40.72066442,-73.98517977,21257,Customer,1949,male,4174.12683163821,51.216666666666669,71,3,7,10,yes
1731,2016-09-10 13:14:27 UTC,2016-09-10 13:43:18 UTC,3423,West Drive & Prospect Park West,40.6610633719006,-73.979452550411224,3373,3 St & 3 Ave,40.6750705,-73.98775226,23825,Customer,1957,female,1707.5982585604854,28.85,63,3,7,13,no
955,2016-09-25 13:39:03 UTC,2016-09-25 13:54:59 UTC,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,19804,Customer,1955,male,1978.3216145721062,15.916666666666666,65,3,1,13,no
2381,2016-09-07 10:51:24 UTC,2016-09-07 11:31:05 UTC,447,8 Ave & W 52 St,40.76370739,-73.9851615,524,W 43 St & 6 Ave,40.75527307,-73.98316936,26455,Customer,1956,male,952.74616916818684,39.68333333333333,64,3,4,10,yes
1781,2016-08-29 19:06:57 UTC,2016-08-29 19:36:39 UTC,2000,Front St & Washington St,40.70255088,-73.98940236,3078,Broadway & Roebling St,40.70925562,-73.95982218,15540,Customer,1955,male,2602.4848487340664,29.683333333333334,65,3,2,19,no
1274,2016-08-27 12:29:38 UTC,2016-08-27 12:50:52 UTC,3287,W 87 St & West End Ave,40.790261,-73.977131,3287,W 87 St & West End Ave,40.790261,-73.977131,15629,Customer,1946,male,0.0,21.233333333333334,74,3,7,12,no
1273,2016-09-12 15:07:59 UTC,2016-09-12 15:29:13 UTC,470,W 20 St & 8 Ave,40.74345335,-74.00004031,3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,15210,Customer,1955,male,4302.92746374628,21.216666666666665,65,3,2,15,no
952,2016-08-01 15:23:46 UTC,2016-08-01 15:39:38 UTC,3259,9 Ave & W 28 St,40.749370241932773,-73.999233841896057,285,Broadway & E 14 St,40.73454567,-73.99074142,16002,Customer,1957,male,1796.992158974778,15.866666666666667,63,3,2,15,no
1569,2016-09-21 11:20:51 UTC,2016-09-21 11:47:00 UTC,3161,W 76 St & Columbus Ave,40.7801839724239,-73.977285325527191,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,26544,Customer,1948,female,850.48795196748029,26.15,72,3,4,11,no
1584,2016-08-26 14:16:09 UTC,2016-08-26 14:42:34 UTC,3282,5 Ave & E 88 St,40.78307,-73.95939,422,W 59 St & 10 Ave,40.770513,-73.988038,19342,Customer,1943,male,2787.2218106974342,26.4,77,3,6,14,no
543,2016-09-05 10:30:05 UTC,2016-09-05 10:39:09 UTC,3282,5 Ave & E 88 St,40.78307,-73.95939,3290,E 89 St & York Ave,40.7779453,-73.946041,18679,Customer,1952,male,1260.1702657905255,9.05,68,3,2,10,no
1501,2016-09-07 12:22:47 UTC,2016-09-07 12:47:49 UTC,533,Broadway & W 39 St,40.75299641,-73.98721619,518,E 39 St & 2 Ave,40.74780373,-73.9734419,19972,Customer,1956,male,1296.0320481052809,25.016666666666666,64,3,4,12,no
1673,2016-08-08 12:00:17 UTC,2016-08-08 12:28:10 UTC,507,E 25 St & 2 Ave,40.73912601,-73.97973776,504,1 Ave & E 16 St,40.73221853,-73.98165557,16809,Customer,1951,male,784.89099086645888,27.883333333333333,69,3,2,12,no
1558,2016-08-24 13:30:03 UTC,2016-08-24 13:56:02 UTC,3141,1 Ave & E 68 St,40.76500525,-73.95818491,72,W 52 St & 11 Ave,40.76727216,-73.99392888,14657,Customer,1948,male,3020.78760759182,25.966666666666665,72,3,4,13,no
1598,2016-09-19 14:11:01 UTC,2016-09-19 14:37:39 UTC,3158,W 63 St & Broadway,40.77163851,-73.98261428,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,23498,Customer,1951,male,649.99887667403368,26.633333333333333,69,3,2,14,no
748,2016-09-16 14:31:28 UTC,2016-09-16 14:43:57 UTC,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,3068,Humboldt St & Varet St,40.7031724,-73.940636,18381,Customer,1957,male,1323.8099527468189,12.466666666666667,63,3,6,14,no
3150,2016-09-06 11:48:45 UTC,2016-09-06 12:41:16 UTC,335,Washington Pl & Broadway,40.72903917,-73.99404649,315,South St & Gouverneur Ln,40.70355377,-74.00670227,20738,Customer,1956,male,3027.939570682126,52.5,64,3,3,11,yes
1952,2016-09-05 08:18:32 UTC,2016-09-05 08:51:05 UTC,415,Pearl St & Hanover Square,40.7047177,-74.00926027,545,E 23 St & 1 Ave,40.736502,-73.97809472,23540,Customer,1955,male,4403.330441799375,32.533333333333331,65,3,2,8,yes
349,2016-09-03 19:00:23 UTC,2016-09-03 19:06:13 UTC,3313,6 Ave & 12 St,40.6663181,-73.9854617,3310,14 St & 7 Ave,40.663779,-73.98396846,25943,Customer,1957,female,309.15379482978648,5.8166666666666664,63,3,7,19,no
1908,2016-09-04 10:43:49 UTC,2016-09-04 11:15:38 UTC,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,22231,Customer,1953,female,272.53874264602592,31.8,67,3,1,10,yes
2061,2016-09-15 10:53:08 UTC,2016-09-15 11:27:29 UTC,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,3298,Warren St & Court St,40.686371,-73.99383324,19158,Customer,1955,female,2442.8761357610724,34.35,65,3,5,10,yes
815,2016-09-18 16:11:41 UTC,2016-09-18 16:25:16 UTC,263,Elizabeth St & Hester St,40.717590818059804,-73.996224403381348,127,Barrow St & Hudson St,40.73172428,-74.00674436,18320,Customer,1951,male,1804.3675837927683,13.583333333333334,69,3,1,16,no
1994,2016-09-22 23:09:02 UTC,2016-09-22 23:42:16 UTC,536,1 Ave & E 30 St,40.74144387,-73.97536082,317,E 6 St & Avenue B,40.72453734,-73.98185424,20773,Customer,1956,male,1957.9229570871635,33.233333333333334,64,3,5,23,yes
935,2016-09-02 16:01:00 UTC,2016-09-02 16:16:36 UTC,3265,E 2 St & 2 Ave,40.7245634290432,-73.9894437789917,295,Pike St & E Broadway,40.71406667,-73.99293911,17506,Customer,1954,male,1203.7865242933185,15.583333333333334,66,3,6,16,no
617,2016-09-17 11:09:14 UTC,2016-09-17 11:19:31 UTC,358,Christopher St & Greenwich St,40.73291553,-74.00711384,2010,Grand St & Greene St,40.72165481,-74.00234737,18345,Customer,1956,female,1314.9797404575916,10.283333333333333,64,3,7,11,no
1516,2016-09-10 11:06:48 UTC,2016-09-10 11:32:04 UTC,490,8 Ave & W 33 St,40.751551,-73.993934,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,16840,Customer,1957,male,2635.1359483686088,25.266666666666666,63,3,7,11,no
350,2016-09-14 19:27:22 UTC,2016-09-14 19:33:12 UTC,3158,W 63 St & Broadway,40.77163851,-73.98261428,423,W 54 St & 9 Ave,40.76584941,-73.98690506,20964,Customer,1956,female,738.20284977610618,5.833333333333333,64,3,4,19,no
2230,2016-09-04 16:31:27 UTC,2016-09-04 17:08:38 UTC,247,Perry St & Bleecker St,40.73535398,-74.00483091,195,Liberty St & Broadway,40.70905623,-74.01043382,20792,Customer,1955,male,2962.05691414258,37.166666666666664,65,3,1,16,yes
2188,2016-08-07 15:15:08 UTC,2016-08-07 15:51:37 UTC,501,FDR Drive & E 35 St,40.744219,-73.97121214,279,Peck Slip & Front St,40.707873,-74.00167,16771,Customer,1953,male,4787.612016148576,36.466666666666669,67,3,1,15,yes
2113,2016-09-24 09:19:15 UTC,2016-09-24 09:54:29 UTC,3176,W 64 St & West End Ave,40.77452835,-73.98753759,3320,Central Park West & W 100 St,40.793393,-73.9635556,23539,Customer,1952,male,2911.5519286450553,35.216666666666669,68,3,7,9,yes
